"method"	"nparticles"	"variance"	"cost"	"inefficiency"	"asymptoticvar"
"csmc1"	64	0.0696324427946435	1.45581909179687	0.101372239628896	4.45647633885718
"csmc1"	128	0.028486687634382	2.88216252326965	0.0821032635119048	3.64629601720089
"csmc1"	256	0.0163642257391988	5.72069269418716	0.0936147066322642	4.1892417892349
"csmc1"	512	0.00872554136847675	11.4126627254486	0.0995816607353745	4.4674771806601
"csmc1"	1024	0.00491038758336736	22.8302960824966	0.112105602408092	5.02823688536818
"csmc1"	2048	0.00200202334870894	45.9691308188438	0.092031273219181	4.10014381815591
"csmc2"	64	0.0778958989646207	6.24596610546112	0.486535144687445	4.98533753373573
"csmc2"	128	0.03821786275651	12.395563018322	0.473731926223901	4.89188643283328
"csmc2"	256	0.0190286042813646	24.811053481102	0.472119718495662	4.87132269602933
"csmc2"	512	0.0105481542003124	49.8368336248398	0.525686605930122	5.40065495055992
"csmc2"	1024	0.00456510470448321	99.160816090107	0.452679508033342	4.67466721739081
"csmc2"	2048	0.00270410679356334	199.03995459795	0.538225293418856	5.53801071321773
"bpf"	64	4.31626402542252	0.0862053537368774	0.372085067133307	276.240897627041
"bpf"	128	2.38783812560228	0.172269833087921	0.411352475338479	305.643280077092
"bpf"	256	1.67322702475537	0.326457204818726	0.54623701752879	428.346118337374
"bpf"	512	0.875274370483184	0.633719680309296	0.554678594245523	448.14047768739
"bpf"	1024	0.545579668716073	1.25137035369873	0.682722223012069	558.673580765259
"bpf"	2048	0.311287239846385	2.48664293289185	0.774060215063422	637.516267205397
"apf"	64	0.281235250212788	1.4876696228981	0.418385138629711	17.9990560136184
"apf"	128	0.154059511529768	2.94631679534912	0.453908126303437	19.7196174758103
"apf"	256	0.110270251700212	5.84999351739883	0.64508025760818	28.2291844352544
"apf"	512	0.0563679509114562	11.7161063480377	0.660412907499591	28.8603908666656
"apf"	1024	0.0263390271013637	23.4590242195129	0.617887874689298	26.9711637517964
"apf"	2048	0.0107315951618176	47.4803552508354	0.509539950691248	21.9783068914025
